,link,text,date,No_of_likes,No_of_tweets
27,https://twitter.com/lilooet/status/1387241657850941442#m,I envy the clarity jumbo jet designers have in their job description.,"Apr 28, 2021 · 3:05 AM UTC",6,0
28,https://twitter.com/fireyaksha/status/1387193227556622337#m,I'm crying not only is this man's bird flashy in every way that counts it also makes the most overdramatic booming noise like a whole jumbo jet taking off,"Apr 27, 2021 · 11:53 PM UTC",1,1
29,https://twitter.com/acorralo/status/1387130504223158272#m,"Nuevamente, no seas mamón, Jumbo Jet.","Apr 27, 2021 · 7:44 PM UTC",0,0
30,https://twitter.com/WHOPGOD/status/1387128976485896203#m,Anyone else have an irrational fear of a jumbo jet flying straight out of the sky and hitting u square in the face in your own yard or is that just me,"Apr 27, 2021 · 7:38 PM UTC",1,0
31,https://twitter.com/TheNFPA/status/1387119769619423239#m,"#Onlyfluidpowercan lift a jumbo jet, bank and roll a fighter plane, and keep a rocket on course. https://www.nfpa.com/home/industry-stats/Annual-Report-on-US-Fluid-Power-Industry.htm","Apr 27, 2021 · 7:01 PM UTC",0,1
32,https://twitter.com/bonnodato/status/1387097821212512256#m,Castillo no califica para postular. Es como darle a conducir un Jumbo Jet qie es Peru a un niño y encima mal educado y mal criado.,"Apr 27, 2021 · 5:34 PM UTC",0,0
33,https://twitter.com/dedenk_bm/status/1387085053612593153#m,"Jumbo Jet HC..Yg tau band ini, Berarti kito seletingan 😂👌","Apr 27, 2021 · 4:43 PM UTC",2,0
34,https://twitter.com/TimHasFun/status/1387079136850583556#m,“You think life is real? Think again. It’s all just a Microsoft Flight Simulator.” -Sevey the 747 Jumbo Jet. #yiaygame,"Apr 27, 2021 · 4:20 PM UTC",0,0
35,https://twitter.com/0141_shirataki/status/1387075149816471560#m,ずーっとbig jumbo jetの77億ﾊﾟﾝﾊﾟﾝﾊﾟﾝが頭から離れないんだけど,"Apr 27, 2021 · 4:04 PM UTC",1,0
36,https://twitter.com/ChillyWillys1/status/1387070377181040641#m,#DidYouKnow? There's enough fuel in a full tank of a jumbo jet to drive the average car around the world four times.,"Apr 27, 2021 · 3:45 PM UTC",0,0
37,https://twitter.com/icosanaut/status/1387068289071947777#m,even if so.. seems they would have enough room to pack a rope or two.. a ladder .. maybe even  a jumbo jet style inflatable slide just for fun,"Apr 27, 2021 · 3:37 PM UTC",0,1
38,https://twitter.com/italymystery/status/1387065820610760704#m,We need an jumbo jet 😂,"Apr 27, 2021 · 3:27 PM UTC",0,0
39,https://twitter.com/q_quark/status/1387062520100184066#m,梅田サイファーのアルバム「BIG JUMBO JET」で震えた韻は今のところ、「Highway Lights」のpeko氏の「みんな行こうぜ」と「midnight cruisin」、それと「いつかまた」のKBD氏の「（は）ゲーセン」「捕鯨船」に代表されるヴァース全部など。  まだまだ聞き込みます。,"Apr 27, 2021 · 3:14 PM UTC",29,0
40,https://twitter.com/elizabethlowson/status/1387037062688165903#m,"Innsbruck for a conference. Amazing views as we landed. On the way back via Frankfurt, flew right up the Thames and into Heathrow in a jumbo jet :-)","Apr 27, 2021 · 1:33 PM UTC",0,0
41,https://twitter.com/Athish_CB/status/1387023907551543296#m,Jumbo jet for a reason...! #aviation #A380 #Airbus,"Apr 27, 2021 · 12:40 PM UTC",1,0
42,https://twitter.com/KingstonsBoA/status/1387006213615984640#m,"Before joining us, Sue used to travel to Uxbridge for work & remembers one time getting to a main roundabout at rush hour- it took her 3 attempts to get off at the right junction with 1 attept taking her into central London under the flight path of a jumbo jet! #BradfordonAvon","Apr 27, 2021 · 11:30 AM UTC",0,0
43,https://twitter.com/STEFNOMAD/status/1387005838464794627#m,naast de kwestie ! uit dit inderdaad gekend normaal fysiologische proces iets af leiden over een m-RNA celinjectie die in de normale fysiologie NIET bestaat is geloven dat een vrachtwagen met vleugels plots gaat vliegen als een jumbojet😂🙄,"Apr 27, 2021 · 11:28 AM UTC",0,0
44,https://twitter.com/heynuri_/status/1386995879026954244#m,Jumbo jet.  #film,"Apr 27, 2021 · 10:49 AM UTC",2,0
45,https://twitter.com/SierraUniEcho/status/1386939332771160066#m,"27.4.2005 Super jumbo jet the Airbus A380, the world’s largest passenger aircraft, made its 1st flight from Toulouse #OTD #AviationHistory #TransportHistory #IconicAircraft #AirbusA380","Apr 27, 2021 · 7:04 AM UTC",0,0
46,https://twitter.com/andrei_zinevich/status/1386919902661984256#m,My favourite jumbo jet Boeing 747 at Minsk2,"Apr 27, 2021 · 5:47 AM UTC",0,0
47,https://twitter.com/bonnodato/status/1386906065665728513#m,Dejar que esta persona gobierne el Perú es como dar el timón de un jumbo jet a un niño mal educado mal criado y conflictivo. No es posible dejarlo postular. Esta empobreciendo ya al Perú al subir el dolar solo por su riesgo.,"Apr 27, 2021 · 4:52 AM UTC",0,0
48,https://twitter.com/UroFuchs1/status/1386904236471066626#m,344 verstorbene Covidpatienten seit gestern; eine Boeing 747-200SP (Jumbo Jet) hat 331 Sitzplätze.,"Apr 27, 2021 · 4:45 AM UTC",2,0
49,https://twitter.com/AyyMGe3e/status/1386859207006167040#m,jeweler jewelry job join  joint  joke  journal  journey  joy judge judgment juice jumbo jet jump jump shot junior jurisdiction juror jury just  justice keep key kick kickoff kid kill kind  kindness king  kingdom kiss  kitchen  knee kneel  knife  knit  knock  knot know knowledge,"Apr 27, 2021 · 1:46 AM UTC",0,0
50,https://twitter.com/AbFabSkyLife/status/1386853654666387459#m,News outlets all like “Jumbo jet aborts takeoff”,"Apr 27, 2021 · 1:24 AM UTC",2,0
51,https://twitter.com/cwtchkitten/status/1386821526205370369#m,"I've been where you are. I remember thinking to myself at one point, that it was more likely I'd land a Jumbo Jet than qualify such as it felt so unattainable. Every step is positive progress though, and you *will conquer from these doubts and you *will register with confidence.","Apr 26, 2021 · 11:16 PM UTC",1,0
